Comment,tokens,idioma,tokens_sin_stopwords,tokens_lemmatized
a cuanto cuesta el semestre,"['a', 'cuanto', 'cuesta', 'el', 'semestre']",es,"['cuanto', 'cuesta', 'semestre']","['cuanto', 'costar', 'semestre']"
que sede es disculpe,"['que', 'sede', 'es', 'disculpe']",es,"['sede', 'disculpe']","['sede', 'disculpe']"
hay examen de ingreso,"['hay', 'examen', 'de', 'ingreso']",es,"['examen', 'ingreso']","['examen', 'ingreso']"
hola me puedes ayudar con el costo final por fa de cada semestre,"['hola', 'me', 'puedes', 'ayudar', 'con', 'el', 'costo', 'final', 'por', 'fa', 'de', 'cada', 'semestre']",es,"['hola', 'puedes', 'ayudar', 'costo', 'final', 'fa', 'cada', 'semestre']","['hola', 'poder', 'ayudar', 'costo', 'final', 'far', 'cada', 'semestre']"
es dificil yo tambien quiero entrar a la salesiana,"['es', 'dificil', 'yo', 'tambien', 'quiero', 'entrar', 'a', 'la', 'salesiana']",es,"['dificil', 'tambien', 'quiero', 'entrar', 'salesiana']","['dificil', 'tambien', 'querer', 'entrar', 'salesián']"
que tal son los laboratorios,"['que', 'tal', 'son', 'los', 'laboratorios']",es,"['tal', 'laboratorios']","['tal', 'laboratorio']"
alguien que me diga si esta carrera no es tan compleja,"['alguien', 'que', 'me', 'diga', 'si', 'esta', 'carrera', 'no', 'es', 'tan', 'compleja']",es,"['alguien', 'diga', 'si', 'carrera', 'tan', 'compleja']","['alguien', 'decir', 'si', 'carrera', 'tanto', 'complejo']"
disculpen q toman en el examen de admision,"['disculpen', 'q', 'toman', 'en', 'el', 'examen', 'de', 'admision']",es,"['disculpen', 'q', 'toman', 'examen', 'admision']","['disculpar', 'q', 'tomar', 'examen', 'admision']"
si o no marino,"['si', 'o', 'no', 'marino']",it,"['si', 'o', 'no', 'marino']","['si', 'o', 'no', 'marino']"
es una universidad en mi opinion,"['es', 'una', 'universidad', 'en', 'mi', 'opinion']",es,"['universidad', 'opinion']","['universidad', 'opinion']"
con decirte que una ex ministra saco titulo en menos de un ano y luego decia que ha luchado como el pueblo para donde esta te muestra como es esa universidad,"['con', 'decirte', 'que', 'una', 'ex', 'ministra', 'saco', 'titulo', 'en', 'menos', 'de', 'un', 'ano', 'y', 'luego', 'decia', 'que', 'ha', 'luchado', 'como', 'el', 'pueblo', 'para', 'donde', 'esta', 'te', 'muestra', 'como', 'es', 'esa', 'universidad']",es,"['decirte', 'ex', 'ministra', 'saco', 'titulo', 'menos', 'ano', 'luego', 'decia', 'luchado', 'pueblo', 'muestra', 'universidad']","['decir tú', 'ex', 'ministra', 'saco', 'titulo', 'menos', 'ano', 'luego', 'decia', 'luchado', 'pueblo', 'mostrar', 'universidad']"
cuales si tienen prestigio,"['cuales', 'si', 'tienen', 'prestigio']",es,"['cuales', 'si', 'prestigio']","['cual', 'si', 'prestigiar']"
deleted,['deleted'],da,['deleted'],['deleted']
depende la carrera por ejemplo para derecho es terrible no hay casi clases y no ensenan con mucha pasion pero para carreras como fisioterapia es muy buena hay profesionales muy capaces y son muy estrictos con la anatomia y se estudia bastante duro,"['depende', 'la', 'carrera', 'por', 'ejemplo', 'para', 'derecho', 'es', 'terrible', 'no', 'hay', 'casi', 'clases', 'y', 'no', 'ensenan', 'con', 'mucha', 'pasion', 'pero', 'para', 'carreras', 'como', 'fisioterapia', 'es', 'muy', 'buena', 'hay', 'profesionales', 'muy', 'capaces', 'y', 'son', 'muy', 'estrictos', 'con', 'la', 'anatomia', 'y', 'se', 'estudia', 'bastante', 'duro']",es,"['depende', 'carrera', 'ejemplo', 'derecho', 'terrible', 'casi', 'clases', 'ensenan', 'mucha', 'pasion', 'carreras', 'fisioterapia', 'buena', 'profesionales', 'capaces', 'estrictos', 'anatomia', 'estudia', 'bastante', 'duro']","['depender', 'carrera', 'ejemplo', 'derecho', 'terrible', 'casi', 'clase', 'ensenar', 'mucho', 'pasion', 'carrera', 'fisioterapia', 'buen', 'profesional', 'capaz', 'estricto', 'anatomio', 'estudiar', 'bastante', 'duro']"
diria que la que tiene es la san francisco de quito pero es cara dependiendo de las carreras obvio,"['diria', 'que', 'la', 'que', 'tiene', 'es', 'la', 'san', 'francisco', 'de', 'quito', 'pero', 'es', 'cara', 'dependiendo', 'de', 'las', 'carreras', 'obvio']",es,"['diria', 'san', 'francisco', 'quito', 'cara', 'dependiendo', 'carreras', 'obvio']","['diria', 'san', 'francisco', 'quito', 'cara', 'depender', 'carrera', 'obvio']"
no mucho,"['no', 'mucho']",cs,"['no', 'mucho']","['no', 'mucho']"
no,['no'],tl,['no'],['no']
no,['no'],tl,['no'],['no']
no,['no'],tl,['no'],['no']
no,['no'],tl,['no'],['no']
no,['no'],tl,['no'],['no']
ninguno,['ninguno'],tl,['ninguno'],['ninguno']
si deseas una universidad politecnica te recomendaria la universidad politecnica nacional o la espe,"['si', 'deseas', 'una', 'universidad', 'politecnica', 'te', 'recomendaria', 'la', 'universidad', 'politecnica', 'nacional', 'o', 'la', 'espe']",es,"['si', 'deseas', 'universidad', 'politecnica', 'recomendaria', 'universidad', 'politecnica', 'nacional', 'espe']","['si', 'desea', 'universidad', 'politecnico', 'recomendario', 'universidad', 'politecnico', 'nacional', 'espe']"
lo unico bueno ah consideracion depende de tu malla de carrera espol se concentra mas en las areas de ciencia de la tecnologia y industrializacion siendo esta reconocida como la segunda mejor universidad en ecuador aparte de la san francicos de quito pero esa es demasiada cara si quieres una opcion pagada fuera por la ues o la uide claro dependiendo de lo que elijas estudiar,"['lo', 'unico', 'bueno', 'ah', 'consideracion', 'depende', 'de', 'tu', 'malla', 'de', 'carrera', 'espol', 'se', 'concentra', 'mas', 'en', 'las', 'areas', 'de', 'ciencia', 'de', 'la', 'tecnologia', 'y', 'industrializacion', 'siendo', 'esta', 'reconocida', 'como', 'la', 'segunda', 'mejor', 'universidad', 'en', 'ecuador', 'aparte', 'de', 'la', 'san', 'francicos', 'de', 'quito', 'pero', 'esa', 'es', 'demasiada', 'cara', 'si', 'quieres', 'una', 'opcion', 'pagada', 'fuera', 'por', 'la', 'ues', 'o', 'la', 'uide', 'claro', 'dependiendo', 'de', 'lo', 'que', 'elijas', 'estudiar']",es,"['unico', 'bueno', 'ah', 'consideracion', 'depende', 'malla', 'carrera', 'espol', 'concentra', 'mas', 'areas', 'ciencia', 'tecnologia', 'industrializacion', 'siendo', 'reconocida', 'segunda', 'mejor', 'universidad', 'ecuador', 'aparte', 'san', 'francicos', 'quito', 'demasiada', 'cara', 'si', 'quieres', 'opcion', 'pagada', 'ues', 'uide', 'claro', 'dependiendo', 'elijas', 'estudiar']","['unico', 'bueno', 'ah', 'consideracion', 'depender', 'malla', 'carrera', 'espol', 'concentrar', 'mas', 'areas', 'ciencia', 'tecnologia', 'industrializacion', 'ser', 'reconocer', 'segundo', 'mejor', 'universidad', 'ecuador', 'aparte', 'san', 'francico', 'quito', 'demasiado', 'cara', 'si', 'querer', 'opcion', 'pagado', 'ue', 'uide', 'claro', 'depender', 'elija', 'estudiar']"
uy,['uy'],tr,['uy'],['uy']
ajajj,['ajajj'],sl,['ajajj'],['ajajj']
realmente depende de la carrera y cuanto dinero tengas si el dinero no es un problema la san francisco,"['realmente', 'depende', 'de', 'la', 'carrera', 'y', 'cuanto', 'dinero', 'tengas', 'si', 'el', 'dinero', 'no', 'es', 'un', 'problema', 'la', 'san', 'francisco']",es,"['realmente', 'depende', 'carrera', 'cuanto', 'dinero', 'si', 'dinero', 'problema', 'san', 'francisco']","['realmente', 'depender', 'carrera', 'cuanto', 'dinero', 'si', 'dinero', 'problema', 'san', 'francisco']"
quien dijo que voy a ir a ecuador,"['quien', 'dijo', 'que', 'voy', 'a', 'ir', 'a', 'ecuador']",es,"['dijo', 'voy', 'ir', 'ecuador']","['decir', 'ir', 'ir', 'ecuador']"
no voy a estudiar ahi jaja es que en mi uni vamos a colaborar con los estudiantes de esta en un proyecto y me daba curiosidad pero gracias x la info,"['no', 'voy', 'a', 'estudiar', 'ahi', 'jaja', 'es', 'que', 'en', 'mi', 'uni', 'vamos', 'a', 'colaborar', 'con', 'los', 'estudiantes', 'de', 'esta', 'en', 'un', 'proyecto', 'y', 'me', 'daba', 'curiosidad', 'pero', 'gracias', 'x', 'la', 'info']",es,"['voy', 'estudiar', 'ahi', 'jaja', 'uni', 'vamos', 'colaborar', 'estudiantes', 'proyecto', 'daba', 'curiosidad', 'gracias', 'x', 'info']","['ir', 'estudiar', 'ahi', 'jajar', 'uni', 'ir', 'colaborar', 'estudiante', 'proyecto', 'dar', 'curiosidad', 'gracias', 'x', 'info']"
lo de ser catolico o no te aseguro que es un mito no se quien te habra dicho eso xd lo demas no puedo decirte mucho me acabo de graduar,"['lo', 'de', 'ser', 'catolico', 'o', 'no', 'te', 'aseguro', 'que', 'es', 'un', 'mito', 'no', 'se', 'quien', 'te', 'habra', 'dicho', 'eso', 'xd', 'lo', 'demas', 'no', 'puedo', 'decirte', 'mucho', 'me', 'acabo', 'de', 'graduar']",es,"['ser', 'catolico', 'aseguro', 'mito', 'habra', 'dicho', 'xd', 'demas', 'puedo', 'decirte', 'acabo', 'graduar']","['ser', 'catolico', 'aseguro', 'mito', 'habrar', 'dicho', 'xd', 'demas', 'poder', 'decirte', 'acabar', 'graduar']"
saludos recuerde esto y quizas poco se habla en cualquier profesion trata de ser el mejor y aprender para que ofrezca un servicio de calidad y hacer contactos luego son muy importantes hasta para tener referencias profesionales y recomendaciones aprenda finanzas personales los ecuatorianos no sabemos la mayoria ni la diferencia entre una tarjeta de debito y credito nunca deje de aprender algo nuevo,"['saludos', 'recuerde', 'esto', 'y', 'quizas', 'poco', 'se', 'habla', 'en', 'cualquier', 'profesion', 'trata', 'de', 'ser', 'el', 'mejor', 'y', 'aprender', 'para', 'que', 'ofrezca', 'un', 'servicio', 'de', 'calidad', 'y', 'hacer', 'contactos', 'luego', 'son', 'muy', 'importantes', 'hasta', 'para', 'tener', 'referencias', 'profesionales', 'y', 'recomendaciones', 'aprenda', 'finanzas', 'personales', 'los', 'ecuatorianos', 'no', 'sabemos', 'la', 'mayoria', 'ni', 'la', 'diferencia', 'entre', 'una', 'tarjeta', 'de', 'debito', 'y', 'credito', 'nunca', 'deje', 'de', 'aprender', 'algo', 'nuevo']",es,"['saludos', 'recuerde', 'quizas', 'habla', 'cualquier', 'profesion', 'trata', 'ser', 'mejor', 'aprender', 'ofrezca', 'servicio', 'calidad', 'hacer', 'contactos', 'luego', 'importantes', 'tener', 'referencias', 'profesionales', 'recomendaciones', 'aprenda', 'finanzas', 'personales', 'ecuatorianos', 'sabemos', 'mayoria', 'diferencia', 'tarjeta', 'debito', 'credito', 'nunca', 'deje', 'aprender', 'nuevo']","['saludo', 'recordar', 'quiza', 'hablar', 'cualquiera', 'profesion', 'tratar', 'ser', 'mejor', 'aprender', 'ofrecer', 'servicio', 'calidad', 'hacer', 'contacto', 'luego', 'importante', 'tener', 'referencia', 'profesional', 'recomendación', 'aprendar', 'finanza', 'personal', 'ecuatoriano', 'saber', 'mayoria', 'diferenciar', 'tarjeto', 'debito', 'credito', 'nunca', 'dejar', 'aprender', 'nuevo']"
