Comment,tokens,idioma,tokens_sin_stopwords,tokens_lemmatized
perdon por no responder a tu pregunta pero cuando entres a la u haz contactos no solo con manes de tu carrera haz contactos de carreras afines o de gente que ya trabaja en tu sector si algun profe necesita de algun ayudante nano asi no te paguen metete ahi eso en la vida laboral te va ayudar mucho odio decirlo pero sin contactos en la vida laboral es complicado encontrar trabajo suerte,"['perdon', 'por', 'no', 'responder', 'a', 'tu', 'pregunta', 'pero', 'cuando', 'entres', 'a', 'la', 'u', 'haz', 'contactos', 'no', 'solo', 'con', 'manes', 'de', 'tu', 'carrera', 'haz', 'contactos', 'de', 'carreras', 'afines', 'o', 'de', 'gente', 'que', 'ya', 'trabaja', 'en', 'tu', 'sector', 'si', 'algun', 'profe', 'necesita', 'de', 'algun', 'ayudante', 'nano', 'asi', 'no', 'te', 'paguen', 'metete', 'ahi', 'eso', 'en', 'la', 'vida', 'laboral', 'te', 'va', 'ayudar', 'mucho', 'odio', 'decirlo', 'pero', 'sin', 'contactos', 'en', 'la', 'vida', 'laboral', 'es', 'complicado', 'encontrar', 'trabajo', 'suerte']",es,"['perdon', 'responder', 'pregunta', 'entres', 'u', 'haz', 'contactos', 'solo', 'manes', 'carrera', 'haz', 'contactos', 'carreras', 'afines', 'gente', 'trabaja', 'sector', 'si', 'algun', 'profe', 'necesita', 'algun', 'ayudante', 'nano', 'asi', 'paguen', 'metete', 'ahi', 'vida', 'laboral', 'va', 'ayudar', 'odio', 'decirlo', 'contactos', 'vida', 'laboral', 'complicado', 'encontrar', 'trabajo', 'suerte']","['perdon', 'responder', 'pregunta', 'entr', 'u', 'haz', 'contacto', 'solo', 'man', 'carrero', 'haz', 'contacto', 'carrera', 'afín', 'gente', 'trabajar', 'sector', 'si', 'algun', 'profe', 'necesitar', 'algun', 'ayudante', 'nano', 'asi', 'pagar', 'metete', 'ahi', 'vida', 'laboral', 'ir', 'ayudar', 'odio', 'decir él', 'contacto', 'vida', 'laboral', 'complicado', 'encontrar', 'trabajo', 'suerte']"
hey que tal sabes que sobre la ups no se nada jaja pero si te puedo hablar sobre la carrera de ing mecatronicasoy graduado hace ya casi una ano en universidad privada y si te soy sincero el campo laboral esta muy dificil te hablo desde mi punto de vista pero en la universidad con te dicen en otros comentarios trata de hacer amistades en todo lugar y si tienes amistades con psicologos o personas que trabajen en recursos humanoscreeme que te va ser de mucha ayuda en mi carrera por lo menos mi circulo de amigos ninguno esta trabajando el algo que sea de mecatronica algunos se fueron los la programacionpaginas web apps etc otros trabajan en areas de ventas de maquinaria o de dispositivos tecnologicos otros trabajan en otras cosas que no son de la carrera y otros decidieron viajaar es vrdd lo que dicen sobre que si un profesor necesita algun ayudante o algo por estilo metete de cabeza siempre y cuando sea referente a lo que te apasione si vas a seguir mecatronica debes saber que hay muchos campos en los cuales puedes aplicar redes programacion automatizacion manufactura y tal pero no vas a salir siendo un capo de estos de la universidad si te puedo dar un consejo busca pasantias despues de tu do o r semestre todo eso suma a tu hoja de vida y asi tambien vas buscando que te gusta y cuando ya te gusta algo ya es diferente metele muchas ganas y nunca dejes de estudiar siempre saca certificados de algo tambien ayuda en hoja de vida,"['hey', 'que', 'tal', 'sabes', 'que', 'sobre', 'la', 'ups', 'no', 'se', 'nada', 'jaja', 'pero', 'si', 'te', 'puedo', 'hablar', 'sobre', 'la', 'carrera', 'de', 'ing', 'mecatronicasoy', 'graduado', 'hace', 'ya', 'casi', 'una', 'ano', 'en', 'universidad', 'privada', 'y', 'si', 'te', 'soy', 'sincero', 'el', 'campo', 'laboral', 'esta', 'muy', 'dificil', 'te', 'hablo', 'desde', 'mi', 'punto', 'de', 'vista', 'pero', 'en', 'la', 'universidad', 'con', 'te', 'dicen', 'en', 'otros', 'comentarios', 'trata', 'de', 'hacer', 'amistades', 'en', 'todo', 'lugar', 'y', 'si', 'tienes', 'amistades', 'con', 'psicologos', 'o', 'personas', 'que', 'trabajen', 'en', 'recursos', 'humanoscreeme', 'que', 'te', 'va', 'ser', 'de', 'mucha', 'ayuda', 'en', 'mi', 'carrera', 'por', 'lo', 'menos', 'mi', 'circulo', 'de', 'amigos', 'ninguno', 'esta', 'trabajando', 'el', 'algo', 'que', 'sea', 'de', 'mecatronica', 'algunos', 'se', 'fueron', 'los', 'la', 'programacionpaginas', 'web', 'apps', 'etc', 'otros', 'trabajan', 'en', 'areas', 'de', 'ventas', 'de', 'maquinaria', 'o', 'de', 'dispositivos', 'tecnologicos', 'otros', 'trabajan', 'en', 'otras', 'cosas', 'que', 'no', 'son', 'de', 'la', 'carrera', 'y', 'otros', 'decidieron', 'viajaar', 'es', 'vrdd', 'lo', 'que', 'dicen', 'sobre', 'que', 'si', 'un', 'profesor', 'necesita', 'algun', 'ayudante', 'o', 'algo', 'por', 'estilo', 'metete', 'de', 'cabeza', 'siempre', 'y', 'cuando', 'sea', 'referente', 'a', 'lo', 'que', 'te', 'apasione', 'si', 'vas', 'a', 'seguir', 'mecatronica', 'debes', 'saber', 'que', 'hay', 'muchos', 'campos', 'en', 'los', 'cuales', 'puedes', 'aplicar', 'redes', 'programacion', 'automatizacion', 'manufactura', 'y', 'tal', 'pero', 'no', 'vas', 'a', 'salir', 'siendo', 'un', 'capo', 'de', 'estos', 'de', 'la', 'universidad', 'si', 'te', 'puedo', 'dar', 'un', 'consejo', 'busca', 'pasantias', 'despues', 'de', 'tu', 'do', 'o', 'r', 'semestre', 'todo', 'eso', 'suma', 'a', 'tu', 'hoja', 'de', 'vida', 'y', 'asi', 'tambien', 'vas', 'buscando', 'que', 'te', 'gusta', 'y', 'cuando', 'ya', 'te', 'gusta', 'algo', 'ya', 'es', 'diferente', 'metele', 'muchas', 'ganas', 'y', 'nunca', 'dejes', 'de', 'estudiar', 'siempre', 'saca', 'certificados', 'de', 'algo', 'tambien', 'ayuda', 'en', 'hoja', 'de', 'vida']",es,"['hey', 'tal', 'sabes', 'ups', 'jaja', 'si', 'puedo', 'hablar', 'carrera', 'ing', 'mecatronicasoy', 'graduado', 'hace', 'casi', 'ano', 'universidad', 'privada', 'si', 'sincero', 'campo', 'laboral', 'dificil', 'hablo', 'punto', 'vista', 'universidad', 'dicen', 'comentarios', 'trata', 'hacer', 'amistades', 'lugar', 'si', 'amistades', 'psicologos', 'personas', 'trabajen', 'recursos', 'humanoscreeme', 'va', 'ser', 'mucha', 'ayuda', 'carrera', 'menos', 'circulo', 'amigos', 'ninguno', 'trabajando', 'mecatronica', 'programacionpaginas', 'web', 'apps', 'etc', 'trabajan', 'areas', 'ventas', 'maquinaria', 'dispositivos', 'tecnologicos', 'trabajan', 'cosas', 'carrera', 'decidieron', 'viajaar', 'vrdd', 'dicen', 'si', 'profesor', 'necesita', 'algun', 'ayudante', 'estilo', 'metete', 'cabeza', 'siempre', 'referente', 'apasione', 'si', 'vas', 'seguir', 'mecatronica', 'debes', 'saber', 'campos', 'cuales', 'puedes', 'aplicar', 'redes', 'programacion', 'automatizacion', 'manufactura', 'tal', 'vas', 'salir', 'siendo', 'capo', 'universidad', 'si', 'puedo', 'dar', 'consejo', 'busca', 'pasantias', 'despues', 'do', 'r', 'semestre', 'suma', 'hoja', 'vida', 'asi', 'tambien', 'vas', 'buscando', 'gusta', 'gusta', 'diferente', 'metele', 'muchas', 'ganas', 'nunca', 'dejes', 'estudiar', 'siempre', 'saca', 'certificados', 'tambien', 'ayuda', 'hoja', 'vida']","['hey', 'tal', 'sabes', 'ups', 'jaja', 'si', 'poder', 'hablar', 'carrera', 'ing', 'mecatronicasoy', 'graduado', 'hacer', 'casi', 'ano', 'universidad', 'privado', 'si', 'sincero', 'campo', 'laboral', 'dificil', 'hablo', 'punto', 'visto', 'universidad', 'decir', 'comentario', 'tratar', 'hacer', 'amistad', 'lugar', 'si', 'amistadser', 'psicologo', 'persona', 'trabajen', 'recurso', 'humanoscreemir', 'ir', 'ser', 'mucho', 'ayuda', 'carrera', 'menos', 'circulo', 'amigo', 'ninguno', 'trabajar', 'mecatronico', 'programacionpagina', 'web', 'apps', 'etc', 'trabajar', 'area', 'venta', 'maquinario', 'dispositivo', 'tecnologico', 'trabajar', 'cosa', 'carrero', 'decidir', 'viajaar', 'vrdd', 'decir', 'si', 'profesor', 'necesitar', 'algun', 'ayudante', 'estilo', 'metete', 'cabezar', 'siempre', 'referente', 'apasionir', 'si', 'ir', 'seguir', 'mecatronico', 'deber', 'saber', 'campo', 'cual', 'poder', 'aplicar', 'red', 'programacion', 'automatizacion', 'manufactura', 'tal', 'vas', 'salir', 'ser', 'capo', 'universidad', 'si', 'poder', 'dar', 'consejo', 'buscar', 'pasantia', 'despu', 'do', 'r', 'semestre', 'sumar', 'hojo', 'vida', 'asi', 'tambien', 'va', 'buscar', 'gusta', 'gusto', 'diferente', 'metelir', 'mucho', 'gana', 'nunca', 'dej', 'estudiar', 'siempre', 'sacar', 'certificado', 'tambien', 'ayuda', 'hojo', 'vida']"
yo he tenido tres profesores de matematica y fisica que se graduaron de la politecnica y algo no se si nacional o salesiana excepto uno que me consta se graduo de la nacional los tres don muy malos explicando y tienen metodos largos complejos y ambiguos dicen que es la mejor universidad es la mejor del pais pero pienso todo lo contrario si te cuesta mucho entender los temas no te cabe espacio para pensar en como aplicar esos conocimientos yo pensaba entrar a la ute para mecatronica tambien mi consejo seria que hables con egresados de las universidades que esten entre tus opciones sobre dificultad de aprendizaje proyectos desarrollador y demas si tienes la posibilidad de estudiar fuera te recomendaria argentina que tiene en mi opinion la mejor ingeniera de la region suerte nano,"['yo', 'he', 'tenido', 'tres', 'profesores', 'de', 'matematica', 'y', 'fisica', 'que', 'se', 'graduaron', 'de', 'la', 'politecnica', 'y', 'algo', 'no', 'se', 'si', 'nacional', 'o', 'salesiana', 'excepto', 'uno', 'que', 'me', 'consta', 'se', 'graduo', 'de', 'la', 'nacional', 'los', 'tres', 'don', 'muy', 'malos', 'explicando', 'y', 'tienen', 'metodos', 'largos', 'complejos', 'y', 'ambiguos', 'dicen', 'que', 'es', 'la', 'mejor', 'universidad', 'es', 'la', 'mejor', 'del', 'pais', 'pero', 'pienso', 'todo', 'lo', 'contrario', 'si', 'te', 'cuesta', 'mucho', 'entender', 'los', 'temas', 'no', 'te', 'cabe', 'espacio', 'para', 'pensar', 'en', 'como', 'aplicar', 'esos', 'conocimientos', 'yo', 'pensaba', 'entrar', 'a', 'la', 'ute', 'para', 'mecatronica', 'tambien', 'mi', 'consejo', 'seria', 'que', 'hables', 'con', 'egresados', 'de', 'las', 'universidades', 'que', 'esten', 'entre', 'tus', 'opciones', 'sobre', 'dificultad', 'de', 'aprendizaje', 'proyectos', 'desarrollador', 'y', 'demas', 'si', 'tienes', 'la', 'posibilidad', 'de', 'estudiar', 'fuera', 'te', 'recomendaria', 'argentina', 'que', 'tiene', 'en', 'mi', 'opinion', 'la', 'mejor', 'ingeniera', 'de', 'la', 'region', 'suerte', 'nano']",es,"['tres', 'profesores', 'matematica', 'fisica', 'graduaron', 'politecnica', 'si', 'nacional', 'salesiana', 'excepto', 'consta', 'graduo', 'nacional', 'tres', 'don', 'malos', 'explicando', 'metodos', 'largos', 'complejos', 'ambiguos', 'dicen', 'mejor', 'universidad', 'mejor', 'pais', 'pienso', 'contrario', 'si', 'cuesta', 'entender', 'temas', 'cabe', 'espacio', 'pensar', 'aplicar', 'conocimientos', 'pensaba', 'entrar', 'ute', 'mecatronica', 'tambien', 'consejo', 'seria', 'hables', 'egresados', 'universidades', 'esten', 'opciones', 'dificultad', 'aprendizaje', 'proyectos', 'desarrollador', 'demas', 'si', 'posibilidad', 'estudiar', 'recomendaria', 'argentina', 'opinion', 'mejor', 'ingeniera', 'region', 'suerte', 'nano']","['tres', 'profesor', 'matematico', 'fisico', 'graduar', 'politecnico', 'si', 'nacional', 'salesián', 'excepto', 'constar', 'graduo', 'nacional', 'tres', 'don', 'malo', 'explicar', 'metodo', 'largo', 'complejo', 'ambiguo', 'decir', 'mejor', 'universidad', 'mejor', 'pais', 'pensar', 'contrario', 'si', 'costar', 'entender', 'tema', 'caber', 'espacio', 'pensar', 'aplicar', 'conocimiento', 'pensar', 'entrar', 'ute', 'mecatronico', 'tambien', 'consejo', 'serio', 'habl', 'egresado', 'universidad', 'estir', 'opción', 'dificultad', 'aprendizaje', 'proyecto', 'desarrollador', 'demas', 'si', 'posibilidad', 'estudiar', 'recomendario', 'argentina', 'opinion', 'mejor', 'ingenierar', 'region', 'suerte', 'nano']"
mi experiencia tanto de trabajador como de estudiante en la ups comparandola con otras universidades donde pude estudiar y trabajar fue agradable profesores buenos y bastante profesional los laboratorios y sus ingenieros estan capacitados ademas de un ambiente social ameno es falso lo de si no eres catolico te va mal aunq existen las materias que les llaman de diosito son materias de antropologia etica servicio social etc eso si como toda entidad educativa tiene sus casos de frustrantes hay algunos profesores q quieren imponer ideologia o con algun estigma pero la ventaja es q se puede entrar en dialogo algunos consejos q te puedo dar es que aproveches los cursos extras q suelen dar habla con los profesores y comunicales algun proyecto o interes en algun tema que tengas suelen ayudarte para conseguirlos aprovecha los lugares que te dan de practicas y servicios sociales de ahi sales con bastantes contactos,"['mi', 'experiencia', 'tanto', 'de', 'trabajador', 'como', 'de', 'estudiante', 'en', 'la', 'ups', 'comparandola', 'con', 'otras', 'universidades', 'donde', 'pude', 'estudiar', 'y', 'trabajar', 'fue', 'agradable', 'profesores', 'buenos', 'y', 'bastante', 'profesional', 'los', 'laboratorios', 'y', 'sus', 'ingenieros', 'estan', 'capacitados', 'ademas', 'de', 'un', 'ambiente', 'social', 'ameno', 'es', 'falso', 'lo', 'de', 'si', 'no', 'eres', 'catolico', 'te', 'va', 'mal', 'aunq', 'existen', 'las', 'materias', 'que', 'les', 'llaman', 'de', 'diosito', 'son', 'materias', 'de', 'antropologia', 'etica', 'servicio', 'social', 'etc', 'eso', 'si', 'como', 'toda', 'entidad', 'educativa', 'tiene', 'sus', 'casos', 'de', 'frustrantes', 'hay', 'algunos', 'profesores', 'q', 'quieren', 'imponer', 'ideologia', 'o', 'con', 'algun', 'estigma', 'pero', 'la', 'ventaja', 'es', 'q', 'se', 'puede', 'entrar', 'en', 'dialogo', 'algunos', 'consejos', 'q', 'te', 'puedo', 'dar', 'es', 'que', 'aproveches', 'los', 'cursos', 'extras', 'q', 'suelen', 'dar', 'habla', 'con', 'los', 'profesores', 'y', 'comunicales', 'algun', 'proyecto', 'o', 'interes', 'en', 'algun', 'tema', 'que', 'tengas', 'suelen', 'ayudarte', 'para', 'conseguirlos', 'aprovecha', 'los', 'lugares', 'que', 'te', 'dan', 'de', 'practicas', 'y', 'servicios', 'sociales', 'de', 'ahi', 'sales', 'con', 'bastantes', 'contactos']",es,"['experiencia', 'trabajador', 'estudiante', 'ups', 'comparandola', 'universidades', 'pude', 'estudiar', 'trabajar', 'agradable', 'profesores', 'buenos', 'bastante', 'profesional', 'laboratorios', 'ingenieros', 'estan', 'capacitados', 'ademas', 'ambiente', 'social', 'ameno', 'falso', 'si', 'catolico', 'va', 'mal', 'aunq', 'existen', 'materias', 'llaman', 'diosito', 'materias', 'antropologia', 'etica', 'servicio', 'social', 'etc', 'si', 'toda', 'entidad', 'educativa', 'casos', 'frustrantes', 'profesores', 'q', 'quieren', 'imponer', 'ideologia', 'algun', 'estigma', 'ventaja', 'q', 'puede', 'entrar', 'dialogo', 'consejos', 'q', 'puedo', 'dar', 'aproveches', 'cursos', 'extras', 'q', 'suelen', 'dar', 'habla', 'profesores', 'comunicales', 'algun', 'proyecto', 'interes', 'algun', 'tema', 'suelen', 'ayudarte', 'conseguirlos', 'aprovecha', 'lugares', 'dan', 'practicas', 'servicios', 'sociales', 'ahi', 'sales', 'bastantes', 'contactos']","['experiencia', 'trabajador', 'estudiante', 'ups', 'comparandola', 'universidad', 'poder', 'estudiar', 'trabajar', 'agradable', 'profesor', 'buen', 'bastante', 'profesional', 'laboratorio', 'ingeniero', 'estar', 'capacitado', 'adema', 'ambiente', 'social', 'ameno', 'falso', 'si', 'catolico', 'ir', 'mal', 'aunq', 'existir', 'materia', 'llamar', 'diosito', 'materia', 'antropologio', 'etico', 'servicio', 'social', 'etc', 'si', 'todo', 'entidad', 'educativo', 'caso', 'frustrante', 'profesor', 'q', 'querer', 'imponer', 'ideologia', 'algun', 'estigma', 'ventaja', 'q', 'poder', 'entrar', 'dialogo', 'consejo', 'q', 'poder', 'dar', 'aprovech', 'curso', 'extra', 'q', 'soler', 'dar', 'hablar', 'profesor', 'comunical', 'algun', 'proyecto', 'inter', 'algun', 'tema', 'soler', 'ayudarte', 'conseguir él', 'aprovechar', 'lugar', 'dar', 'practica', 'servicio', 'social', 'ahi', 'sal', 'bastante', 'contacto']"
dependiendo de la industria existe una cierta narrativa que en esa universidad se va a joder tengo un familiar trabajando como ingeniero en alimentos y en su empresa no quieren saber nadie de la ups no digo que todos piensen asi pero mi consejo es que si vas a estudiar ahi e invertir en tu educacion cuando tengas la oportunidad preparate muy bien aprende otras habilidades y haz practicas profesionales que valgan la pena fuera de eso es igual que en otra universidad,"['dependiendo', 'de', 'la', 'industria', 'existe', 'una', 'cierta', 'narrativa', 'que', 'en', 'esa', 'universidad', 'se', 'va', 'a', 'joder', 'tengo', 'un', 'familiar', 'trabajando', 'como', 'ingeniero', 'en', 'alimentos', 'y', 'en', 'su', 'empresa', 'no', 'quieren', 'saber', 'nadie', 'de', 'la', 'ups', 'no', 'digo', 'que', 'todos', 'piensen', 'asi', 'pero', 'mi', 'consejo', 'es', 'que', 'si', 'vas', 'a', 'estudiar', 'ahi', 'e', 'invertir', 'en', 'tu', 'educacion', 'cuando', 'tengas', 'la', 'oportunidad', 'preparate', 'muy', 'bien', 'aprende', 'otras', 'habilidades', 'y', 'haz', 'practicas', 'profesionales', 'que', 'valgan', 'la', 'pena', 'fuera', 'de', 'eso', 'es', 'igual', 'que', 'en', 'otra', 'universidad']",es,"['dependiendo', 'industria', 'existe', 'cierta', 'narrativa', 'universidad', 'va', 'joder', 'familiar', 'trabajando', 'ingeniero', 'alimentos', 'empresa', 'quieren', 'saber', 'nadie', 'ups', 'digo', 'piensen', 'asi', 'consejo', 'si', 'vas', 'estudiar', 'ahi', 'invertir', 'educacion', 'oportunidad', 'preparate', 'bien', 'aprende', 'habilidades', 'haz', 'practicas', 'profesionales', 'valgan', 'pena', 'igual', 'universidad']","['depender', 'industrio', 'existir', 'cierto', 'narrativo', 'universidad', 'ir', 'joder', 'familiar', 'trabajar', 'ingeniero', 'alimento', 'empresa', 'querer', 'saber', 'nadie', 'ups', 'decir', 'piensen', 'asi', 'consejo', 'si', 'ir', 'estudiar', 'ahi', 'invertir', 'educacion', 'oportunidad', 'preparatir', 'bien', 'aprender', 'habilidad', 'haz', 'practica', 'profesional', 'valgar', 'pena', 'igual', 'universidad']"
wow q pena a mecatronica este tan dificil alla yo vivo en europa y aqui mecatronica esta en auge al menos conozco uno que otro y por eso se que es una carrera con alta demanda en realidad podrias intentar irte a canada australia o europa con la blue card con esa carrera,"['wow', 'q', 'pena', 'a', 'mecatronica', 'este', 'tan', 'dificil', 'alla', 'yo', 'vivo', 'en', 'europa', 'y', 'aqui', 'mecatronica', 'esta', 'en', 'auge', 'al', 'menos', 'conozco', 'uno', 'que', 'otro', 'y', 'por', 'eso', 'se', 'que', 'es', 'una', 'carrera', 'con', 'alta', 'demanda', 'en', 'realidad', 'podrias', 'intentar', 'irte', 'a', 'canada', 'australia', 'o', 'europa', 'con', 'la', 'blue', 'card', 'con', 'esa', 'carrera']",es,"['wow', 'q', 'pena', 'mecatronica', 'tan', 'dificil', 'alla', 'vivo', 'europa', 'aqui', 'mecatronica', 'auge', 'menos', 'conozco', 'carrera', 'alta', 'demanda', 'realidad', 'podrias', 'intentar', 'irte', 'canada', 'australia', 'europa', 'blue', 'card', 'carrera']","['wow', 'q', 'pena', 'mecatronico', 'tanto', 'dificil', 'alla', 'vivo', 'europa', 'aqui', 'mecatronica', 'auge', 'menos', 'conocer', 'carrera', 'alto', 'demanda', 'realidad', 'podria', 'intentar', 'irte', 'canado', 'australia', 'europa', 'blue', 'card', 'carrera']"
de verdad chuta eso si suena fatal no quiero que me hagan feo si busco trabajo una vez graduado se que es dificil en estos tiempos pero quiero hacer una carrera en ingenierias no quiero tantas pretensiones las publicas estan fuera de mi rango me puedo permitir una privada como la ups pero como es plata que yo mismo voy a invertir no quiero luego estar mal al menos que me abra algunas puertas,"['de', 'verdad', 'chuta', 'eso', 'si', 'suena', 'fatal', 'no', 'quiero', 'que', 'me', 'hagan', 'feo', 'si', 'busco', 'trabajo', 'una', 'vez', 'graduado', 'se', 'que', 'es', 'dificil', 'en', 'estos', 'tiempos', 'pero', 'quiero', 'hacer', 'una', 'carrera', 'en', 'ingenierias', 'no', 'quiero', 'tantas', 'pretensiones', 'las', 'publicas', 'estan', 'fuera', 'de', 'mi', 'rango', 'me', 'puedo', 'permitir', 'una', 'privada', 'como', 'la', 'ups', 'pero', 'como', 'es', 'plata', 'que', 'yo', 'mismo', 'voy', 'a', 'invertir', 'no', 'quiero', 'luego', 'estar', 'mal', 'al', 'menos', 'que', 'me', 'abra', 'algunas', 'puertas']",es,"['verdad', 'chuta', 'si', 'suena', 'fatal', 'quiero', 'hagan', 'feo', 'si', 'busco', 'trabajo', 'vez', 'graduado', 'dificil', 'tiempos', 'quiero', 'hacer', 'carrera', 'ingenierias', 'quiero', 'tantas', 'pretensiones', 'publicas', 'estan', 'rango', 'puedo', 'permitir', 'privada', 'ups', 'plata', 'mismo', 'voy', 'invertir', 'quiero', 'luego', 'mal', 'menos', 'abra', 'puertas']","['verdad', 'chuto', 'si', 'sonar', 'fatal', 'querer', 'hacer', 'feo', 'si', 'buscar', 'trabajo', 'vez', 'graduado', 'dificil', 'tiempo', 'querer', 'hacer', 'carrera', 'ingenieria', 'querer', 'tanto', 'pretensión', 'publica', 'estar', 'rango', 'poder', 'permitir', 'privado', 'ups', 'plata', 'mismo', 'ir', 'invertir', 'querer', 'luego', 'mal', 'menos', 'abrir', 'puerta']"
la idea es hacer una maestria alla el tema es el dinero pero hay que arriesgarlo el todo por el todo veamos que depara el futuro,"['la', 'idea', 'es', 'hacer', 'una', 'maestria', 'alla', 'el', 'tema', 'es', 'el', 'dinero', 'pero', 'hay', 'que', 'arriesgarlo', 'el', 'todo', 'por', 'el', 'todo', 'veamos', 'que', 'depara', 'el', 'futuro']",es,"['idea', 'hacer', 'maestria', 'alla', 'tema', 'dinero', 'arriesgarlo', 'veamos', 'depara', 'futuro']","['idea', 'hacer', 'maestria', 'alla', 'tema', 'dinero', 'arriesgar él', 'ver', 'deparar', 'futuro']"
claro de igual forma esa situacion uno la sobrepone si se propone destacar y adquiriendo experiencia pero esos prejuicios existen otra situacion y es por un familiar que tengo conocido ahi es que han hecho reduccion de personal la situacion en universidades privadas esta complicada porque la gente en general no esta pagando los precios altos de universidades y se esta inclinando a los tecnologicos si puedes anda a la salesiana como que vas a averiguar de la carrera recorre las instalaciones y conversa con ciertos estudiantes que esten ahi espero eso te de un mejor panorama como esta la universidad suerte,"['claro', 'de', 'igual', 'forma', 'esa', 'situacion', 'uno', 'la', 'sobrepone', 'si', 'se', 'propone', 'destacar', 'y', 'adquiriendo', 'experiencia', 'pero', 'esos', 'prejuicios', 'existen', 'otra', 'situacion', 'y', 'es', 'por', 'un', 'familiar', 'que', 'tengo', 'conocido', 'ahi', 'es', 'que', 'han', 'hecho', 'reduccion', 'de', 'personal', 'la', 'situacion', 'en', 'universidades', 'privadas', 'esta', 'complicada', 'porque', 'la', 'gente', 'en', 'general', 'no', 'esta', 'pagando', 'los', 'precios', 'altos', 'de', 'universidades', 'y', 'se', 'esta', 'inclinando', 'a', 'los', 'tecnologicos', 'si', 'puedes', 'anda', 'a', 'la', 'salesiana', 'como', 'que', 'vas', 'a', 'averiguar', 'de', 'la', 'carrera', 'recorre', 'las', 'instalaciones', 'y', 'conversa', 'con', 'ciertos', 'estudiantes', 'que', 'esten', 'ahi', 'espero', 'eso', 'te', 'de', 'un', 'mejor', 'panorama', 'como', 'esta', 'la', 'universidad', 'suerte']",es,"['claro', 'igual', 'forma', 'situacion', 'sobrepone', 'si', 'propone', 'destacar', 'adquiriendo', 'experiencia', 'prejuicios', 'existen', 'situacion', 'familiar', 'conocido', 'ahi', 'hecho', 'reduccion', 'personal', 'situacion', 'universidades', 'privadas', 'complicada', 'gente', 'general', 'pagando', 'precios', 'altos', 'universidades', 'inclinando', 'tecnologicos', 'si', 'puedes', 'anda', 'salesiana', 'vas', 'averiguar', 'carrera', 'recorre', 'instalaciones', 'conversa', 'ciertos', 'estudiantes', 'esten', 'ahi', 'espero', 'mejor', 'panorama', 'universidad', 'suerte']","['claro', 'igual', 'forma', 'situacion', 'sobreponer', 'si', 'proponer', 'destacar', 'adquirir', 'experiencia', 'prejuicio', 'existir', 'situacion', 'familiar', 'conocido', 'ahi', 'hecho', 'reduccion', 'personal', 'situacion', 'universidad', 'privado', 'complicado', 'gente', 'general', 'pagar', 'precio', 'alto', 'universidad', 'inclinar', 'tecnologico', 'si', 'poder', 'andar', 'salesián', 'vas', 'averiguar', 'carrera', 'recorrer', 'instalación', 'converso', 'cierto', 'estudiante', 'estir', 'ahi', 'esperar', 'mejor', 'panorama', 'universidad', 'suerte']"
hay linea en valenciano castellano y ingles no es requisito saber valenciano puedes elegir todo en castellano,"['hay', 'linea', 'en', 'valenciano', 'castellano', 'y', 'ingles', 'no', 'es', 'requisito', 'saber', 'valenciano', 'puedes', 'elegir', 'todo', 'en', 'castellano']",es,"['linea', 'valenciano', 'castellano', 'ingles', 'requisito', 'saber', 'valenciano', 'puedes', 'elegir', 'castellano']","['linea', 'valenciano', 'castellano', 'ingl', 'requisito', 'saber', 'valenciano', 'poder', 'elegir', 'castellano']"
yo estudie en la upv y no se valenciano al momento de entrar al grado puedes seleccionar el curso en valenciano castellano indistinto y en algunos casos ingles luego lo de rendir valenciano no se a que te refieres dices desde la prueba de acceso a la universidad,"['yo', 'estudie', 'en', 'la', 'upv', 'y', 'no', 'se', 'valenciano', 'al', 'momento', 'de', 'entrar', 'al', 'grado', 'puedes', 'seleccionar', 'el', 'curso', 'en', 'valenciano', 'castellano', 'indistinto', 'y', 'en', 'algunos', 'casos', 'ingles', 'luego', 'lo', 'de', 'rendir', 'valenciano', 'no', 'se', 'a', 'que', 'te', 'refieres', 'dices', 'desde', 'la', 'prueba', 'de', 'acceso', 'a', 'la', 'universidad']",es,"['estudie', 'upv', 'valenciano', 'momento', 'entrar', 'grado', 'puedes', 'seleccionar', 'curso', 'valenciano', 'castellano', 'indistinto', 'casos', 'ingles', 'luego', 'rendir', 'valenciano', 'refieres', 'dices', 'prueba', 'acceso', 'universidad']","['estudie', 'upv', 'valenciano', 'momento', 'entrar', 'grado', 'poder', 'seleccionar', 'curso', 'valenciano', 'castellano', 'indistintir', 'caso', 'ingl', 'luego', 'rendir', 'valenciano', 'refier', 'diz', 'probar', 'acceso', 'universidad']"
