Comment
a cuánto cuesta el semestre?
Que sede es disculpe?
hay examen de ingreso?
"hola, me puedes ayudar con el costo final por fa de cada semestre?"
"¿Es difícil?😭😭
Yo también quiero entrar a la Salesiana"
que tal son los laboratorios??
Alguien que me diga si esta carrera no es tan compleja 🥺
disculpen q toman en el examen de admision ?
❤
si o no Marino?
